timestamp,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,backbone,model,seed,notes,hidden,p_drop,num_layers,mod_drop,freq_mask_ratio,time_mask_ratio,proj_dim,use_gate,audio_dim,fuse_dim,channel_wise_gate,lr,weight_decay,label_smoothing,fuse_mode,variant,pool_type,top_k,margin,proj_dim_effective,ablation_phase
2025-10-22 18:56:44,0.4422,0.0569,0.4358,0.0628,0.4264,0.0553,0.5164,0.0622,0.4422,0.0569,0.4383,0.0895,0.4305,0.0993,0.4147,0.0974,0.5008,0.0822,0.4383,0.0895,0.4798,0.0866,0.475,0.0903,0.4697,0.1023,0.5476,0.0892,0.4798,0.0866,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.0,0.0,,False,192,256,False,0.001,0.0001,0.0,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 18:57:32,0.4422,0.0569,0.4358,0.0628,0.4264,0.0553,0.5164,0.0622,0.4422,0.0569,0.4383,0.0895,0.4305,0.0993,0.4147,0.0974,0.5008,0.0822,0.4383,0.0895,0.4798,0.0866,0.475,0.0903,0.4697,0.1023,0.5476,0.0892,0.4798,0.0866,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.0,0.03,,False,192,256,False,0.001,0.0001,0.0,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 18:58:20,0.4422,0.0569,0.4358,0.0628,0.4264,0.0553,0.5164,0.0622,0.4422,0.0569,0.4383,0.0895,0.4305,0.0993,0.4147,0.0974,0.5008,0.0822,0.4383,0.0895,0.4798,0.0866,0.475,0.0903,0.4697,0.1023,0.5476,0.0892,0.4798,0.0866,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.03,0.0,,False,192,256,False,0.001,0.0001,0.0,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 18:59:09,0.4422,0.0569,0.4358,0.0628,0.4264,0.0553,0.5164,0.0622,0.4422,0.0569,0.4383,0.0895,0.4305,0.0993,0.4147,0.0974,0.5008,0.0822,0.4383,0.0895,0.4798,0.0866,0.475,0.0903,0.4697,0.1023,0.5476,0.0892,0.4798,0.0866,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.0,0.05,,False,192,256,False,0.001,0.0001,0.0,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 18:59:58,0.4422,0.0569,0.4358,0.0628,0.4264,0.0553,0.5164,0.0622,0.4422,0.0569,0.4383,0.0895,0.4305,0.0993,0.4147,0.0974,0.5008,0.0822,0.4383,0.0895,0.4798,0.0866,0.475,0.0903,0.4697,0.1023,0.5476,0.0892,0.4798,0.0866,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.05,0.0,,False,192,256,False,0.001,0.0001,0.0,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 19:00:46,0.4422,0.0569,0.4358,0.0628,0.4264,0.0553,0.5164,0.0622,0.4422,0.0569,0.4383,0.0895,0.4305,0.0993,0.4147,0.0974,0.5008,0.0822,0.4383,0.0895,0.4798,0.0866,0.475,0.0903,0.4697,0.1023,0.5476,0.0892,0.4798,0.0866,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.03,0.03,,False,192,256,False,0.001,0.0001,0.0,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 19:01:35,0.4413,0.0613,0.4356,0.0678,0.4271,0.0604,0.5161,0.068,0.4413,0.0613,0.4358,0.0846,0.4281,0.0948,0.4127,0.0924,0.5027,0.0824,0.4358,0.0846,0.4788,0.0836,0.4747,0.0869,0.4705,0.0978,0.5484,0.0826,0.4788,0.0836,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.0,0.0,,False,192,256,False,0.001,0.0001,0.01,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 19:02:24,0.4413,0.0613,0.4356,0.0678,0.4271,0.0604,0.5161,0.068,0.4413,0.0613,0.4358,0.0846,0.4281,0.0948,0.4127,0.0924,0.5027,0.0824,0.4358,0.0846,0.4788,0.0836,0.4747,0.0869,0.4705,0.0978,0.5484,0.0826,0.4788,0.0836,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.0,0.03,,False,192,256,False,0.001,0.0001,0.01,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 19:03:14,0.4413,0.0613,0.4356,0.0678,0.4271,0.0604,0.5161,0.068,0.4413,0.0613,0.4358,0.0846,0.4281,0.0948,0.4127,0.0924,0.5027,0.0824,0.4358,0.0846,0.4788,0.0836,0.4747,0.0869,0.4705,0.0978,0.5484,0.0826,0.4788,0.0836,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.03,0.0,,False,192,256,False,0.001,0.0001,0.01,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 19:04:04,0.4413,0.0613,0.4356,0.0678,0.4271,0.0604,0.5161,0.068,0.4413,0.0613,0.4358,0.0846,0.4281,0.0948,0.4127,0.0924,0.5027,0.0824,0.4358,0.0846,0.4788,0.0836,0.4747,0.0869,0.4705,0.0978,0.5484,0.0826,0.4788,0.0836,deit_tiny_patch16_224,gru,42,features=deit_tiny_patch16_224,384,0.2,1,0.0,0.0,0.05,,False,192,256,False,0.001,0.0001,0.01,concat,fused_concat,attn,5,0.0,none,4
