timestamp,backbone,model,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,seed,notes,d_model,dropout,layers,epochs,patience,batch_size,lr,weight_decay,label_smoothing,no_class_weights,pool,tin,tin_affine,use_specaug,use_moddrop,audio_dim,video_dim,ablation_phase
2025-10-26 02:54:29,efficientnet_b0,mamba,0.5025,0.0827,0.5023,0.0812,0.4927,0.0882,0.5591,0.0685,0.5025,0.0827,0.4542,0.0487,0.4566,0.0552,0.444,0.0553,0.5681,0.0409,0.4542,0.0487,0.5168,0.0687,0.5122,0.0732,0.4906,0.0754,0.5848,0.0874,0.5168,0.0687,42,features=efficientnet_b0,256,0.25,2,40,10,32,0.001,0.0005,0.02,False,attn,off,False,False,False,1280,1280,4
2025-10-26 02:56:58,efficientnet_b0,mamba,0.4695,0.065,0.467,0.0755,0.4497,0.073,0.5446,0.0701,0.4695,0.065,0.4447,0.0617,0.4405,0.0648,0.4254,0.0776,0.5308,0.0821,0.4447,0.0617,0.4782,0.0593,0.4783,0.0586,0.461,0.0607,0.5668,0.0738,0.4782,0.0593,42,features=efficientnet_b0,192,0.25,2,40,10,32,0.001,0.001,0.05,False,mean,off,False,False,False,1280,1280,4
2025-10-26 03:00:10,efficientnet_b0,mamba,0.5003,0.0799,0.4928,0.0833,0.48,0.0822,0.5516,0.073,0.5003,0.0799,0.4763,0.0741,0.47,0.0824,0.4528,0.0842,0.5421,0.1035,0.4763,0.0741,0.5173,0.0702,0.5077,0.0637,0.4915,0.0676,0.5948,0.055,0.5173,0.0702,42,features=efficientnet_b0,192,0.3,3,40,10,32,0.001,0.0005,0.02,False,attn,off,False,False,False,1280,1280,4
2025-10-26 03:03:13,efficientnet_b0,mamba,0.4782,0.0739,0.4703,0.0779,0.4539,0.0878,0.5269,0.0826,0.4782,0.0739,0.4562,0.0637,0.4506,0.0634,0.4334,0.0702,0.5593,0.0477,0.4562,0.0637,0.5052,0.0698,0.4931,0.0696,0.4808,0.0739,0.5704,0.078,0.5052,0.0698,42,features=efficientnet_b0,128,0.3,2,40,10,32,0.001,0.0005,0.02,False,attn,off,False,False,True,1280,1280,4
2025-10-26 03:06:16,efficientnet_b0,mamba,0.4782,0.0739,0.4703,0.0779,0.4537,0.0876,0.5266,0.0822,0.4782,0.0739,0.4562,0.0637,0.4506,0.0634,0.4334,0.0702,0.5593,0.0477,0.4562,0.0637,0.5072,0.07,0.4975,0.0689,0.4899,0.0696,0.5886,0.0537,0.5072,0.07,42,features=efficientnet_b0,128,0.3,2,40,10,32,0.001,0.001,0.02,False,attn,off,False,False,True,1280,1280,4
2025-10-26 03:08:49,efficientnet_b0,mamba,0.467,0.0625,0.4722,0.0689,0.4564,0.056,0.5569,0.0451,0.467,0.0625,0.4147,0.0629,0.4147,0.061,0.3875,0.0684,0.524,0.017,0.4147,0.0629,0.4805,0.0469,0.4761,0.0588,0.4525,0.0417,0.5576,0.072,0.4805,0.0469,42,features=efficientnet_b0,192,0.15,3,40,10,32,0.001,0.001,0.02,False,mean,off,False,False,False,1280,1280,4
2025-10-26 03:11:18,efficientnet_b0,mamba,0.466,0.0634,0.4619,0.0733,0.4419,0.0763,0.5524,0.0715,0.466,0.0634,0.4463,0.0539,0.4402,0.0521,0.4315,0.0648,0.5315,0.0749,0.4463,0.0539,0.481,0.0714,0.4778,0.068,0.4656,0.0706,0.566,0.0694,0.481,0.0714,42,features=efficientnet_b0,192,0.25,2,40,10,32,0.001,0.001,0.02,False,mean,off,False,False,False,1280,1280,4
2025-10-26 03:13:47,efficientnet_b0,mamba,0.466,0.0634,0.4619,0.0733,0.4419,0.0763,0.5524,0.0715,0.466,0.0634,0.4463,0.0539,0.4402,0.0521,0.4315,0.0648,0.5315,0.0749,0.4463,0.0539,0.481,0.0714,0.4778,0.068,0.4656,0.0706,0.566,0.0694,0.481,0.0714,42,features=efficientnet_b0,192,0.25,2,40,10,32,0.001,0.0005,0.02,False,mean,off,False,False,False,1280,1280,4
2025-10-26 03:16:16,efficientnet_b0,mamba,0.4695,0.065,0.467,0.0755,0.4497,0.073,0.5446,0.0701,0.4695,0.065,0.4447,0.0617,0.4405,0.0648,0.4254,0.0776,0.5308,0.0821,0.4447,0.0617,0.4782,0.0593,0.4783,0.0586,0.461,0.0607,0.5668,0.0738,0.4782,0.0593,42,features=efficientnet_b0,192,0.25,2,40,10,32,0.001,0.0005,0.05,False,mean,off,False,False,False,1280,1280,4
2025-10-26 03:18:49,efficientnet_b0,mamba,0.4607,0.0612,0.4608,0.071,0.4341,0.0637,0.5366,0.0374,0.4607,0.0612,0.4523,0.0407,0.4483,0.0393,0.444,0.044,0.6084,0.0465,0.4523,0.0407,0.4998,0.0602,0.4945,0.0684,0.4842,0.0622,0.5896,0.0725,0.4998,0.0602,42,features=efficientnet_b0,256,0.2,2,40,10,32,0.001,0.0005,0.0,False,mean,off,False,False,True,1280,1280,4
