timestamp,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,backbone,model,seed,notes,hidden,p_drop,num_layers,mod_drop,freq_mask_ratio,time_mask_ratio,proj_dim,use_gate,audio_dim,fuse_dim,channel_wise_gate,lr,weight_decay,label_smoothing,fuse_mode,variant,pool_type,top_k,margin,proj_dim_effective,ablation_phase
2025-10-21 14:32:04,0.4518,0.0675,0.4428,0.0718,0.4267,0.0738,0.5188,0.0701,0.4518,0.0675,0.4502,0.0588,0.4458,0.052,0.4249,0.0463,0.5357,0.0405,0.4502,0.0588,0.4555,0.0556,0.4495,0.0541,0.4362,0.0569,0.5234,0.0778,0.4555,0.0556,mobilenetv2_100,gru,42,features=mobilenetv2_100,384,0.25,1,0.0,0.0,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,topk,3,0.0,none,4
2025-10-21 14:34:01,0.4518,0.0675,0.4428,0.0718,0.4267,0.0738,0.5188,0.0701,0.4518,0.0675,0.4502,0.0588,0.4458,0.052,0.4249,0.0463,0.5357,0.0405,0.4502,0.0588,0.4555,0.0556,0.4495,0.0541,0.4362,0.0569,0.5234,0.0778,0.4555,0.0556,mobilenetv2_100,gru,42,features=mobilenetv2_100,384,0.25,1,0.0,0.0,0.03,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,topk,3,0.0,none,4
2025-10-21 14:35:59,0.4518,0.0675,0.4428,0.0718,0.4267,0.0738,0.5188,0.0701,0.4518,0.0675,0.4502,0.0588,0.4458,0.052,0.4249,0.0463,0.5357,0.0405,0.4502,0.0588,0.4555,0.0556,0.4495,0.0541,0.4362,0.0569,0.5234,0.0778,0.4555,0.0556,mobilenetv2_100,gru,42,features=mobilenetv2_100,384,0.25,1,0.0,0.03,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,topk,3,0.0,none,4
2025-10-21 14:37:54,0.4518,0.0675,0.4428,0.0718,0.4267,0.0738,0.5188,0.0701,0.4518,0.0675,0.4502,0.0588,0.4458,0.052,0.4249,0.0463,0.5357,0.0405,0.4502,0.0588,0.4555,0.0556,0.4495,0.0541,0.4362,0.0569,0.5234,0.0778,0.4555,0.0556,mobilenetv2_100,gru,42,features=mobilenetv2_100,384,0.25,1,0.0,0.0,0.05,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,topk,3,0.0,none,4
2025-10-21 14:39:50,0.4518,0.0675,0.4428,0.0718,0.4267,0.0738,0.5188,0.0701,0.4518,0.0675,0.4502,0.0588,0.4458,0.052,0.4249,0.0463,0.5357,0.0405,0.4502,0.0588,0.4555,0.0556,0.4495,0.0541,0.4362,0.0569,0.5234,0.0778,0.4555,0.0556,mobilenetv2_100,gru,42,features=mobilenetv2_100,384,0.25,1,0.0,0.05,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,topk,3,0.0,none,4
2025-10-21 14:41:45,0.4518,0.0675,0.4428,0.0718,0.4267,0.0738,0.5188,0.0701,0.4518,0.0675,0.4502,0.0588,0.4458,0.052,0.4249,0.0463,0.5357,0.0405,0.4502,0.0588,0.4555,0.0556,0.4495,0.0541,0.4362,0.0569,0.5234,0.0778,0.4555,0.0556,mobilenetv2_100,gru,42,features=mobilenetv2_100,384,0.25,1,0.0,0.03,0.03,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,topk,3,0.0,none,4
2025-10-21 14:44:35,0.4782,0.086,0.4744,0.0924,0.4488,0.0935,0.519,0.0809,0.4782,0.086,0.4238,0.0573,0.4142,0.0588,0.3803,0.0699,0.4509,0.0739,0.4238,0.0573,0.4163,0.0487,0.4053,0.0549,0.3791,0.0608,0.4788,0.1013,0.4163,0.0487,mobilenetv2_100,gru,42,features=mobilenetv2_100,256,0.25,2,0.1,0.0,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 14:47:27,0.4782,0.086,0.4744,0.0924,0.4488,0.0935,0.519,0.0809,0.4782,0.086,0.4238,0.0573,0.4142,0.0588,0.3803,0.0699,0.4509,0.0739,0.4238,0.0573,0.4163,0.0487,0.4053,0.0549,0.3791,0.0608,0.4788,0.1013,0.4163,0.0487,mobilenetv2_100,gru,42,features=mobilenetv2_100,256,0.25,2,0.1,0.0,0.03,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 14:50:20,0.4782,0.086,0.4744,0.0924,0.4488,0.0935,0.519,0.0809,0.4782,0.086,0.4238,0.0573,0.4142,0.0588,0.3803,0.0699,0.4509,0.0739,0.4238,0.0573,0.4163,0.0487,0.4053,0.0549,0.3791,0.0608,0.4788,0.1013,0.4163,0.0487,mobilenetv2_100,gru,42,features=mobilenetv2_100,256,0.25,2,0.1,0.03,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 14:52:48,0.471,0.0841,0.4678,0.0835,0.4554,0.0846,0.5507,0.0804,0.471,0.0841,0.4543,0.0921,0.4541,0.0912,0.4424,0.0963,0.5164,0.0886,0.4543,0.0921,0.4357,0.0293,0.4247,0.0248,0.4134,0.0266,0.5152,0.0664,0.4357,0.0293,mobilenetv2_100,gru,42,features=mobilenetv2_100,384,0.1,1,0.0,0.0,0.0,,False,1280,256,False,0.0004,0.001,0.01,concat,fused_concat,topk,5,0.0,none,4
