timestamp,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,backbone,model,seed,notes,hidden,p_drop,num_layers,mod_drop,freq_mask_ratio,time_mask_ratio,proj_dim,use_gate,audio_dim,fuse_dim,channel_wise_gate,lr,weight_decay,label_smoothing,fuse_mode,variant,pool_type,top_k,margin,proj_dim_effective,ablation_phase
2025-10-21 05:15:44,0.553,0.0833,0.5516,0.089,0.5425,0.0829,0.6035,0.0771,0.553,0.0833,0.4752,0.0806,0.475,0.088,0.4729,0.0885,0.5632,0.0832,0.4752,0.0806,0.4858,0.0677,0.4823,0.0815,0.4722,0.0867,0.5536,0.1226,0.4858,0.0677,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,256,0.25,3,0.1,0.0,0.0,,True,1280,192,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 05:20:54,0.553,0.0833,0.5516,0.089,0.5425,0.0829,0.6035,0.0771,0.553,0.0833,0.4752,0.0806,0.475,0.088,0.4729,0.0885,0.5632,0.0832,0.4752,0.0806,0.4858,0.0677,0.4823,0.0815,0.4722,0.0867,0.5536,0.1226,0.4858,0.0677,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,256,0.25,3,0.1,0.0,0.03,,True,1280,192,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 05:26:02,0.553,0.0833,0.5516,0.089,0.5425,0.0829,0.6035,0.0771,0.553,0.0833,0.4752,0.0806,0.475,0.088,0.4729,0.0885,0.5632,0.0832,0.4752,0.0806,0.4858,0.0677,0.4823,0.0815,0.4722,0.0867,0.5536,0.1226,0.4858,0.0677,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,256,0.25,3,0.1,0.03,0.0,,True,1280,192,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 05:29:04,0.5098,0.1074,0.5089,0.1165,0.4945,0.1082,0.5825,0.0998,0.5098,0.1074,0.506,0.0803,0.5047,0.0835,0.4956,0.0808,0.5706,0.094,0.506,0.0803,0.501,0.072,0.4956,0.0743,0.4902,0.0779,0.5624,0.0941,0.501,0.072,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,384,0.1,3,0.0,0.0,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 05:32:07,0.5098,0.1074,0.5089,0.1165,0.4945,0.1082,0.5825,0.0998,0.5098,0.1074,0.506,0.0803,0.5047,0.0835,0.4956,0.0808,0.5706,0.094,0.506,0.0803,0.501,0.072,0.4956,0.0743,0.4902,0.0779,0.5624,0.0941,0.501,0.072,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,384,0.1,3,0.0,0.0,0.03,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 05:35:12,0.5098,0.1074,0.5089,0.1165,0.4945,0.1082,0.5825,0.0998,0.5098,0.1074,0.506,0.0803,0.5047,0.0835,0.4956,0.0808,0.5706,0.094,0.506,0.0803,0.501,0.072,0.4956,0.0743,0.4902,0.0779,0.5624,0.0941,0.501,0.072,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,384,0.1,3,0.0,0.03,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 05:38:14,0.5098,0.1074,0.5089,0.1165,0.4945,0.1082,0.5825,0.0998,0.5098,0.1074,0.506,0.0803,0.5047,0.0835,0.4956,0.0808,0.5706,0.094,0.506,0.0803,0.501,0.072,0.4956,0.0743,0.4902,0.0779,0.5624,0.0941,0.501,0.072,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,384,0.1,3,0.0,0.0,0.05,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 05:41:18,0.5098,0.1074,0.5089,0.1165,0.4945,0.1082,0.5825,0.0998,0.5098,0.1074,0.506,0.0803,0.5047,0.0835,0.4956,0.0808,0.5706,0.094,0.506,0.0803,0.501,0.072,0.4956,0.0743,0.4902,0.0779,0.5624,0.0941,0.501,0.072,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,384,0.1,3,0.0,0.05,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 05:44:21,0.5098,0.1074,0.5089,0.1165,0.4945,0.1082,0.5825,0.0998,0.5098,0.1074,0.506,0.0803,0.5047,0.0835,0.4956,0.0808,0.5706,0.094,0.506,0.0803,0.501,0.072,0.4956,0.0743,0.4902,0.0779,0.5624,0.0941,0.501,0.072,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,384,0.1,3,0.0,0.03,0.03,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-21 05:47:21,0.534,0.0918,0.5281,0.1035,0.5069,0.1021,0.5847,0.0839,0.534,0.0918,0.4837,0.0749,0.4778,0.0831,0.4735,0.0823,0.5778,0.1193,0.4837,0.0749,0.5278,0.0993,0.5239,0.1127,0.5095,0.1138,0.5966,0.1063,0.5278,0.0993,mobilenetv3_large_100,gru,42,features=mobilenetv3_large_100,384,0.1,1,0.05,0.0,0.0,,True,1280,192,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
