timestamp,backbone,model,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,seed,notes,d_model,dropout,layers,epochs,patience,batch_size,lr,weight_decay,label_smoothing,no_class_weights,pool,tin,tin_affine,use_specaug,use_moddrop,audio_dim,video_dim,ablation_phase
2025-10-26 04:39:56,mobilenetv3_large_100,mamba,0.4877,0.0936,0.4894,0.1041,0.4713,0.0872,0.5296,0.1047,0.4877,0.0936,0.4492,0.0531,0.443,0.0552,0.4334,0.0609,0.5315,0.0786,0.4492,0.0531,0.4852,0.0846,0.4736,0.0855,0.467,0.0863,0.5795,0.05,0.4852,0.0846,42,features=mobilenetv3_large_100,128,0.2,3,40,10,32,0.001,0.0005,0.05,False,attn,off,False,False,False,1280,1280,4
2025-10-26 04:42:48,mobilenetv3_large_100,mamba,0.4877,0.0936,0.4894,0.1041,0.4713,0.0872,0.5296,0.1047,0.4877,0.0936,0.4492,0.0531,0.443,0.0552,0.4334,0.0609,0.5315,0.0786,0.4492,0.0531,0.4858,0.0853,0.4742,0.0863,0.4676,0.0869,0.5799,0.0505,0.4858,0.0853,42,features=mobilenetv3_large_100,128,0.2,3,40,10,32,0.001,0.001,0.05,False,attn,off,False,False,False,1280,1280,4
2025-10-26 04:45:18,mobilenetv3_large_100,mamba,0.4612,0.0846,0.4612,0.0989,0.4398,0.0913,0.5263,0.0921,0.4612,0.0846,0.4477,0.0449,0.4437,0.0524,0.4302,0.0534,0.5076,0.0865,0.4477,0.0449,0.4808,0.0568,0.4734,0.0624,0.4596,0.0634,0.5485,0.0707,0.4808,0.0568,42,features=mobilenetv3_large_100,256,0.3,2,40,10,32,0.001,0.0005,0.05,False,attn,off,False,False,False,1280,1280,4
2025-10-26 04:48:02,mobilenetv3_large_100,mamba,0.4702,0.0918,0.4684,0.1098,0.4515,0.0995,0.5092,0.1113,0.4702,0.0918,0.456,0.0265,0.4536,0.0416,0.4464,0.042,0.5383,0.0789,0.456,0.0265,0.4405,0.0673,0.4323,0.0684,0.4264,0.069,0.5363,0.0749,0.4405,0.0673,42,features=mobilenetv3_large_100,256,0.3,3,40,10,32,0.001,0.001,0.02,False,attn,off,False,False,False,1280,1280,4
2025-10-26 04:50:47,mobilenetv3_large_100,mamba,0.4715,0.0934,0.4697,0.1114,0.4526,0.1008,0.5099,0.1122,0.4715,0.0934,0.4553,0.026,0.453,0.0409,0.4459,0.0418,0.5379,0.0785,0.4553,0.026,0.4412,0.0679,0.433,0.069,0.4271,0.0697,0.537,0.0757,0.4412,0.0679,42,features=mobilenetv3_large_100,256,0.3,3,40,10,32,0.001,0.0005,0.02,False,attn,off,False,False,False,1280,1280,4
2025-10-26 04:53:22,mobilenetv3_large_100,mamba,0.4612,0.0846,0.4612,0.0989,0.4398,0.0913,0.5263,0.0921,0.4612,0.0846,0.4477,0.0449,0.4437,0.0524,0.4302,0.0534,0.5076,0.0865,0.4477,0.0449,0.4808,0.0568,0.4734,0.0624,0.4596,0.0634,0.5485,0.0707,0.4808,0.0568,42,features=mobilenetv3_large_100,256,0.3,2,40,10,32,0.001,0.001,0.05,False,attn,off,False,False,False,1280,1280,4
2025-10-26 04:56:26,mobilenetv3_large_100,mamba,0.475,0.0909,0.4686,0.1002,0.4489,0.0972,0.5263,0.0987,0.475,0.0909,0.4493,0.0428,0.4447,0.0533,0.437,0.0482,0.517,0.0977,0.4493,0.0428,0.4612,0.0701,0.452,0.0749,0.4355,0.0719,0.5574,0.0917,0.4612,0.0701,42,features=mobilenetv3_large_100,256,0.25,3,40,10,32,0.0007,0.0005,0.02,False,attn,off,False,False,False,1280,1280,4
2025-10-26 04:59:07,mobilenetv3_large_100,mamba,0.456,0.0708,0.4555,0.0863,0.4356,0.0884,0.5209,0.1098,0.456,0.0708,0.4328,0.0314,0.4283,0.0338,0.4216,0.0384,0.5237,0.0622,0.4328,0.0314,0.4398,0.0815,0.4355,0.0894,0.4224,0.0845,0.5374,0.127,0.4398,0.0815,42,features=mobilenetv3_large_100,256,0.3,3,40,10,32,0.001,0.0005,0.0,False,attn,off,False,False,True,1280,1280,4
2025-10-26 05:02:03,mobilenetv3_large_100,mamba,0.4612,0.0713,0.4528,0.0818,0.4415,0.0801,0.5067,0.0905,0.4612,0.0713,0.4507,0.0371,0.4412,0.0464,0.4271,0.059,0.5179,0.0842,0.4507,0.0371,0.455,0.0899,0.4464,0.0962,0.4382,0.0947,0.5602,0.0885,0.455,0.0899,42,features=mobilenetv3_large_100,256,0.25,3,40,10,32,0.001,0.001,0.02,False,attn,off,False,False,True,1280,1280,4
2025-10-26 05:05:11,mobilenetv3_large_100,mamba,0.4925,0.0995,0.4825,0.112,0.4631,0.113,0.5366,0.0956,0.4925,0.0995,0.4598,0.0617,0.4542,0.0684,0.4443,0.0693,0.5557,0.0851,0.4598,0.0617,0.4773,0.0877,0.4691,0.0943,0.4667,0.0906,0.5526,0.0878,0.4773,0.0877,42,features=mobilenetv3_large_100,192,0.15,3,40,10,32,0.001,0.0005,0.02,False,attn,off,False,False,False,1280,1280,4
