timestamp,backbone,model,seed,num_params,model_size_mb,val_acc,val_uar,val_f1_macro,val_precision_macro,val_recall_macro,val_f1_weighted,val_precision_weighted,val_recall_weighted,test_acc,test_uar,test_f1_macro,test_precision_macro,test_recall_macro,test_f1_weighted,test_precision_weighted,test_recall_weighted,retrain_test_acc,retrain_test_uar,retrain_test_f1_macro,retrain_test_precision_macro,retrain_test_recall_macro,retrain_test_f1_weighted,retrain_test_precision_weighted,retrain_test_recall_weighted,notes,d_model,dropout,layers,epochs,patience,batch_size,lr,weight_decay,label_smoothing,no_class_weights,pool,tin,tin_affine,use_specaug,use_moddrop,audio_dim,video_dim,cv_foldID,train_actors,val_actors,test_actors,ablation_phase
25/10/2025 20:22,mobilenetv3_large_100,mamba,42,610185,2.3625,0.6792,0.6641,0.653,0.6731,0.6641,0.6643,0.6821,0.6792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,128,0.15,2,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
25/10/2025 20:23,mobilenetv3_large_100,mamba,42,610185,2.3625,0.6833,0.6719,0.6685,0.6751,0.6719,0.6843,0.6947,0.6833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,128,0.25,2,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
25/10/2025 20:23,mobilenetv3_large_100,mamba,42,726921,2.8119,0.6583,0.6406,0.6426,0.7022,0.6406,0.6521,0.699,0.6583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,128,0.15,3,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
25/10/2025 20:24,mobilenetv3_large_100,mamba,42,726921,2.8119,0.6958,0.6797,0.6847,0.7072,0.6797,0.6944,0.7077,0.6958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,128,0.25,3,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
25/10/2025 20:25,mobilenetv3_large_100,mamba,42,1065801,4.1006,0.6875,0.6641,0.6636,0.6797,0.6641,0.684,0.6972,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,192,0.15,2,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
25/10/2025 20:25,mobilenetv3_large_100,mamba,42,1065801,4.1006,0.6833,0.6602,0.6557,0.6809,0.6602,0.6786,0.7054,0.6833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,192,0.25,2,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
25/10/2025 20:26,mobilenetv3_large_100,mamba,42,1317705,5.0656,0.7042,0.6914,0.6913,0.7099,0.6914,0.703,0.7217,0.7042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,192,0.15,3,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
25/10/2025 20:27,mobilenetv3_large_100,mamba,42,1317705,5.0656,0.6375,0.6289,0.626,0.6837,0.6289,0.6373,0.7012,0.6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,192,0.25,3,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
25/10/2025 20:27,mobilenetv3_large_100,mamba,42,1632009,6.2605,0.6542,0.6328,0.6253,0.6428,0.6328,0.6432,0.6578,0.6542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,256,0.15,2,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
25/10/2025 20:28,mobilenetv3_large_100,mamba,42,1632009,6.2605,0.6917,0.6797,0.6728,0.6893,0.6797,0.6843,0.7019,0.6917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,features=mobilenetv3_large_100,256,0.25,2,40,10,32,0.001,0.0005,0.02,FALSE,attn,off,FALSE,FALSE,FALSE,1280,1280,0,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,5-6-7-8,1-2-3-4,0
