timestamp,backbone,model,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,seed,notes,d_model,dropout,layers,epochs,patience,batch_size,lr,weight_decay,label_smoothing,no_class_weights,pool,tin,tin_affine,use_specaug,use_moddrop,audio_dim,video_dim,ablation_phase
2025-10-26 05:07:18,mobilenetv3_small_100,mamba,0.4403,0.0745,0.4427,0.0804,0.4184,0.0946,0.4692,0.0765,0.4403,0.0745,0.4342,0.0524,0.4364,0.0606,0.4194,0.0559,0.5136,0.0943,0.4342,0.0524,0.4417,0.0646,0.4411,0.0706,0.427,0.0685,0.4781,0.0835,0.4417,0.0646,42,features=mobilenetv3_small_100,256,0.15,2,40,10,32,0.0007,0.0005,0.0,False,attn,off,False,False,True,1024,1024,4
2025-10-26 05:09:47,mobilenetv3_small_100,mamba,0.4443,0.0828,0.4483,0.0913,0.4236,0.1049,0.4696,0.0775,0.4443,0.0828,0.4315,0.0491,0.4345,0.0587,0.4154,0.0505,0.512,0.0942,0.4315,0.0491,0.4343,0.0645,0.4355,0.0718,0.4185,0.0689,0.4721,0.0857,0.4343,0.0645,42,features=mobilenetv3_small_100,256,0.15,2,40,10,32,0.0007,0.001,0.0,False,attn,off,False,False,True,1024,1024,4
2025-10-26 05:12:23,mobilenetv3_small_100,mamba,0.4608,0.0724,0.4617,0.0881,0.4429,0.0869,0.484,0.0955,0.4608,0.0724,0.4263,0.0591,0.4259,0.0725,0.4179,0.073,0.5081,0.0814,0.4263,0.0591,0.4383,0.064,0.438,0.071,0.4215,0.0681,0.4747,0.0845,0.4383,0.064,42,features=mobilenetv3_small_100,256,0.15,2,40,10,32,0.0007,0.0005,0.0,False,attn,off,False,False,False,1024,1024,4
2025-10-26 05:15:07,mobilenetv3_small_100,mamba,0.4602,0.071,0.4598,0.0843,0.4401,0.081,0.4764,0.0789,0.4602,0.071,0.4303,0.0609,0.4297,0.0741,0.4199,0.0741,0.5059,0.0826,0.4303,0.0609,0.4363,0.0641,0.4392,0.0708,0.4214,0.0682,0.4738,0.0849,0.4363,0.0641,42,features=mobilenetv3_small_100,256,0.15,2,40,10,32,0.0007,0.001,0.0,False,attn,off,False,False,False,1024,1024,4
2025-10-26 05:16:51,mobilenetv3_small_100,mamba,0.3512,0.0403,0.3498,0.0627,0.3053,0.0479,0.4315,0.0468,0.3512,0.0403,0.3443,0.0422,0.3391,0.0381,0.3033,0.0268,0.3988,0.0779,0.3443,0.0422,0.4043,0.0279,0.4066,0.0324,0.3822,0.0344,0.4383,0.0479,0.4043,0.0279,42,features=mobilenetv3_small_100,128,0.15,3,40,10,32,0.001,0.001,0.0,False,topk,off,False,False,True,1024,1024,4
2025-10-26 05:18:55,mobilenetv3_small_100,mamba,0.446,0.0727,0.4437,0.088,0.424,0.0868,0.4978,0.0783,0.446,0.0727,0.422,0.0397,0.4237,0.0481,0.4121,0.0453,0.5309,0.0743,0.422,0.0397,0.4607,0.0572,0.4606,0.0522,0.4454,0.0536,0.503,0.0463,0.4607,0.0572,42,features=mobilenetv3_small_100,256,0.15,2,40,10,32,0.001,0.0005,0.05,False,attn,off,False,False,True,1024,1024,4
2025-10-26 05:20:45,mobilenetv3_small_100,mamba,0.4392,0.0448,0.4448,0.0604,0.4147,0.0405,0.4487,0.035,0.4392,0.0448,0.4212,0.0422,0.423,0.0544,0.3995,0.053,0.4886,0.0558,0.4212,0.0422,0.452,0.0527,0.4569,0.0595,0.4386,0.0544,0.5028,0.0654,0.452,0.0527,42,features=mobilenetv3_small_100,256,0.2,2,40,10,32,0.001,0.0005,0.05,False,attn,off,False,False,False,1024,1024,4
2025-10-26 05:22:48,mobilenetv3_small_100,mamba,0.4453,0.0713,0.4425,0.0854,0.4232,0.0853,0.4971,0.077,0.4453,0.0713,0.422,0.0397,0.4237,0.0481,0.4121,0.0453,0.5309,0.0743,0.422,0.0397,0.4607,0.0572,0.4606,0.0522,0.4454,0.0536,0.5031,0.0463,0.4607,0.0572,42,features=mobilenetv3_small_100,256,0.15,2,40,10,32,0.001,0.001,0.05,False,attn,off,False,False,True,1024,1024,4
2025-10-26 05:24:38,mobilenetv3_small_100,mamba,0.4392,0.0448,0.4448,0.0604,0.4147,0.0405,0.4487,0.035,0.4392,0.0448,0.4212,0.0422,0.423,0.0544,0.3995,0.053,0.4886,0.0558,0.4212,0.0422,0.452,0.0527,0.4569,0.0595,0.4386,0.0544,0.5028,0.0654,0.452,0.0527,42,features=mobilenetv3_small_100,256,0.2,2,40,10,32,0.001,0.001,0.05,False,attn,off,False,False,False,1024,1024,4
2025-10-26 05:26:45,mobilenetv3_small_100,mamba,0.4287,0.0742,0.4358,0.0843,0.4104,0.0772,0.4709,0.0782,0.4287,0.0742,0.4233,0.0541,0.4238,0.0562,0.4076,0.0617,0.5022,0.0719,0.4233,0.0541,0.4283,0.0702,0.4259,0.0736,0.4117,0.0783,0.4631,0.093,0.4283,0.0702,42,features=mobilenetv3_small_100,192,0.25,2,40,10,32,0.001,0.0005,0.0,False,attn,off,False,False,False,1024,1024,4
