timestamp,backbone,model,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,seed,notes,d_model,dropout,layers,epochs,patience,batch_size,lr,weight_decay,label_smoothing,no_class_weights,pool,tin,tin_affine,use_specaug,use_moddrop,audio_dim,video_dim,ablation_phase
2025-10-26 07:39:18,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.3695,0.0593,0.3639,0.0685,0.3273,0.0746,0.4286,0.0801,0.3695,0.0593,0.3625,0.1,0.3566,0.0986,0.3189,0.0981,0.4038,0.1117,0.3625,0.1,0.3705,0.0602,0.373,0.0661,0.3547,0.0613,0.4621,0.0709,0.3705,0.0602,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,192,0.15,3,40,10,32,0.001,0.0005,0.05,False,mean,off,False,False,False,1280,1280,4
2025-10-26 07:41:15,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.3542,0.0729,0.3558,0.0809,0.3254,0.0766,0.3847,0.1091,0.3542,0.0729,0.3557,0.0685,0.3567,0.0756,0.3248,0.0637,0.3832,0.099,0.3557,0.0685,0.382,0.0567,0.3831,0.0617,0.3532,0.0569,0.4484,0.0877,0.382,0.0567,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,256,0.2,2,40,10,32,0.001,0.0005,0.05,False,topk,off,False,False,False,1280,1280,4
2025-10-26 07:43:22,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.3695,0.0593,0.3639,0.0685,0.3273,0.0746,0.4286,0.0801,0.3695,0.0593,0.3632,0.1005,0.3572,0.099,0.3195,0.0984,0.4047,0.1123,0.3632,0.1005,0.3705,0.0602,0.373,0.0661,0.3547,0.0613,0.4621,0.0709,0.3705,0.0602,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,192,0.15,3,40,10,32,0.001,0.001,0.05,False,mean,off,False,False,False,1280,1280,4
2025-10-26 07:45:25,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.3615,0.07,0.3606,0.0794,0.3275,0.0848,0.4123,0.074,0.3615,0.07,0.3487,0.0619,0.3494,0.0765,0.3159,0.0833,0.3623,0.1347,0.3487,0.0619,0.3687,0.0558,0.3717,0.0656,0.3352,0.0583,0.4605,0.0702,0.3687,0.0558,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,256,0.2,2,40,10,32,0.001,0.001,0.02,False,topk,off,False,False,False,1280,1280,4
2025-10-26 07:47:29,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.3615,0.07,0.3606,0.0794,0.3275,0.0847,0.4115,0.0743,0.3615,0.07,0.3473,0.0616,0.3475,0.0769,0.3142,0.0833,0.3627,0.1348,0.3473,0.0616,0.3693,0.0598,0.3717,0.0689,0.3366,0.0633,0.4573,0.086,0.3693,0.0598,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,256,0.2,2,40,10,32,0.001,0.0005,0.02,False,topk,off,False,False,False,1280,1280,4
2025-10-26 07:49:41,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.387,0.06,0.3778,0.0604,0.3467,0.067,0.4569,0.0875,0.387,0.06,0.3825,0.0873,0.3788,0.088,0.3557,0.0874,0.4536,0.1133,0.3825,0.0873,0.3855,0.0508,0.3839,0.06,0.3617,0.0594,0.4588,0.0856,0.3855,0.0508,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,256,0.2,3,40,10,32,0.001,0.0005,0.02,False,mean,off,False,False,True,1280,1280,4
2025-10-26 07:51:44,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.386,0.0642,0.3795,0.0729,0.3445,0.0817,0.4509,0.0917,0.386,0.0642,0.3795,0.0605,0.3769,0.0726,0.3384,0.0596,0.4464,0.1709,0.3795,0.0605,0.3485,0.0473,0.353,0.0446,0.3204,0.0257,0.433,0.0709,0.3485,0.0473,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,128,0.2,2,40,10,32,0.001,0.0005,0.0,False,mean,off,False,False,True,1280,1280,4
2025-10-26 07:53:39,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.3535,0.073,0.3558,0.0809,0.3261,0.0763,0.3861,0.1112,0.3535,0.073,0.3557,0.067,0.3567,0.0738,0.3253,0.0616,0.3865,0.0943,0.3557,0.067,0.3782,0.0586,0.3783,0.0639,0.3488,0.0588,0.4434,0.0883,0.3782,0.0586,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,256,0.2,2,40,10,32,0.001,0.001,0.05,False,topk,off,False,False,False,1280,1280,4
2025-10-26 07:55:40,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.386,0.0642,0.3795,0.0729,0.3445,0.0817,0.4509,0.0917,0.386,0.0642,0.3795,0.0605,0.3769,0.0726,0.3384,0.0596,0.4464,0.1709,0.3795,0.0605,0.3485,0.0473,0.353,0.0446,0.3204,0.0257,0.433,0.0709,0.3485,0.0473,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,128,0.2,2,40,10,32,0.001,0.001,0.0,False,mean,off,False,False,True,1280,1280,4
2025-10-26 07:57:37,mobilenetv4_conv_small_050.e3000_r224_in1k,mamba,0.374,0.055,0.3706,0.0644,0.3406,0.066,0.4323,0.0587,0.374,0.055,0.3632,0.0748,0.3614,0.0823,0.3295,0.0788,0.4204,0.1332,0.3632,0.0748,0.378,0.0522,0.3745,0.0613,0.3388,0.0425,0.4507,0.0616,0.378,0.0522,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,256,0.15,3,40,10,32,0.001,0.001,0.05,False,mean,off,False,False,True,1280,1280,4
