timestamp,backbone,model,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,seed,notes,d_model,dropout,layers,epochs,patience,batch_size,lr,weight_decay,label_smoothing,no_class_weights,pool,tin,tin_affine,use_specaug,use_moddrop,audio_dim,video_dim,ablation_phase
2025-10-26 07:59:15,mobilevit_s.cvnets_in1k,mamba,0.3995,0.0416,0.3892,0.0355,0.3751,0.032,0.4712,0.0615,0.3995,0.0416,0.425,0.0541,0.4209,0.0468,0.4109,0.056,0.4932,0.0848,0.425,0.0541,0.415,0.0586,0.4139,0.065,0.3972,0.0652,0.4888,0.0944,0.415,0.0586,42,features=mobilevit_s.cvnets_in1k,256,0.15,3,40,10,32,0.001,0.0005,0.05,False,attn,off,False,False,True,640,640,4
2025-10-26 08:01:05,mobilevit_s.cvnets_in1k,mamba,0.4218,0.0494,0.4138,0.0475,0.4048,0.0428,0.5172,0.0682,0.4218,0.0494,0.4247,0.0693,0.4219,0.0555,0.4104,0.0717,0.4975,0.1048,0.4247,0.0693,0.4337,0.0729,0.4325,0.0767,0.4101,0.0818,0.4997,0.1009,0.4337,0.0729,42,features=mobilevit_s.cvnets_in1k,256,0.15,3,40,10,32,0.0007,0.0005,0.05,False,attn,off,False,False,True,640,640,4
2025-10-26 08:02:55,mobilevit_s.cvnets_in1k,mamba,0.4218,0.0494,0.4138,0.0475,0.4048,0.0428,0.5172,0.0682,0.4218,0.0494,0.4247,0.0693,0.4219,0.0555,0.4104,0.0717,0.4975,0.1048,0.4247,0.0693,0.4337,0.0729,0.4325,0.0767,0.4101,0.0818,0.4997,0.1009,0.4337,0.0729,42,features=mobilevit_s.cvnets_in1k,256,0.15,3,40,10,32,0.0007,0.001,0.05,False,attn,off,False,False,True,640,640,4
2025-10-26 08:04:33,mobilevit_s.cvnets_in1k,mamba,0.3995,0.0416,0.3892,0.0355,0.3751,0.032,0.4712,0.0615,0.3995,0.0416,0.425,0.0541,0.4209,0.0468,0.4109,0.056,0.4932,0.0848,0.425,0.0541,0.4152,0.0589,0.4141,0.065,0.3976,0.0649,0.4892,0.0951,0.4152,0.0589,42,features=mobilevit_s.cvnets_in1k,256,0.15,3,40,10,32,0.001,0.001,0.05,False,attn,off,False,False,True,640,640,4
2025-10-26 08:06:05,mobilevit_s.cvnets_in1k,mamba,0.4167,0.0525,0.4113,0.0531,0.3859,0.0471,0.4539,0.0527,0.4167,0.0525,0.411,0.0459,0.4108,0.0406,0.3837,0.0304,0.4607,0.0158,0.411,0.0459,0.4252,0.0522,0.4256,0.0454,0.4055,0.0522,0.4858,0.0669,0.4252,0.0522,42,features=mobilevit_s.cvnets_in1k,256,0.15,2,40,10,32,0.0007,0.0005,0.05,False,attn,off,False,False,True,640,640,4
2025-10-26 08:07:38,mobilevit_s.cvnets_in1k,mamba,0.4167,0.0525,0.4113,0.0531,0.3859,0.0471,0.4539,0.0527,0.4167,0.0525,0.411,0.0459,0.4108,0.0406,0.3837,0.0304,0.4607,0.0158,0.411,0.0459,0.4252,0.0522,0.4256,0.0454,0.4054,0.0523,0.4857,0.067,0.4252,0.0522,42,features=mobilevit_s.cvnets_in1k,256,0.15,2,40,10,32,0.0007,0.001,0.05,False,attn,off,False,False,True,640,640,4
2025-10-26 08:09:11,mobilevit_s.cvnets_in1k,mamba,0.4157,0.056,0.4064,0.059,0.3903,0.0539,0.4645,0.0791,0.4157,0.056,0.4245,0.0598,0.4216,0.0579,0.402,0.0538,0.4863,0.064,0.4245,0.0598,0.4337,0.0629,0.4298,0.0626,0.4078,0.0642,0.4901,0.0845,0.4337,0.0629,42,features=mobilevit_s.cvnets_in1k,256,0.15,2,40,10,32,0.0007,0.001,0.02,False,attn,off,False,False,True,640,640,4
2025-10-26 08:10:52,mobilevit_s.cvnets_in1k,mamba,0.404,0.0494,0.3939,0.0498,0.3757,0.0527,0.5217,0.0887,0.404,0.0494,0.4113,0.0672,0.4055,0.0541,0.3908,0.0603,0.4836,0.087,0.4113,0.0672,0.4105,0.0712,0.4055,0.0717,0.3803,0.074,0.4895,0.1039,0.4105,0.0712,42,features=mobilevit_s.cvnets_in1k,256,0.2,3,40,10,32,0.0007,0.0005,0.02,False,attn,off,False,False,True,640,640,4
2025-10-26 08:12:32,mobilevit_s.cvnets_in1k,mamba,0.404,0.0494,0.3939,0.0498,0.3757,0.0527,0.5217,0.0887,0.404,0.0494,0.4107,0.0669,0.4048,0.0536,0.3902,0.0598,0.4829,0.0859,0.4107,0.0669,0.4112,0.072,0.4061,0.0726,0.3808,0.0748,0.4898,0.1045,0.4112,0.072,42,features=mobilevit_s.cvnets_in1k,256,0.2,3,40,10,32,0.0007,0.001,0.02,False,attn,off,False,False,True,640,640,4
2025-10-26 08:14:05,mobilevit_s.cvnets_in1k,mamba,0.4157,0.056,0.4064,0.059,0.3903,0.0539,0.4645,0.0791,0.4157,0.056,0.4245,0.0598,0.4216,0.0579,0.402,0.0538,0.4863,0.064,0.4245,0.0598,0.4337,0.0629,0.4298,0.0626,0.4078,0.0642,0.4901,0.0845,0.4337,0.0629,42,features=mobilevit_s.cvnets_in1k,256,0.15,2,40,10,32,0.0007,0.0005,0.02,False,attn,off,False,False,True,640,640,4
