timestamp,backbone,model,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,seed,notes,d_model,dropout,layers,epochs,patience,batch_size,lr,weight_decay,label_smoothing,no_class_weights,pool,tin,tin_affine,use_specaug,use_moddrop,audio_dim,video_dim,ablation_phase
2025-10-26 03:45:42,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4482,0.0452,0.4477,0.0528,0.4161,0.0437,0.4902,0.0607,0.4482,0.0452,0.4017,0.0484,0.3941,0.0401,0.3617,0.0477,0.4651,0.0894,0.4017,0.0484,0.4508,0.0629,0.4508,0.0753,0.4283,0.0702,0.5054,0.0983,0.4508,0.0629,42,features=tf_efficientnetv2_s.in21k_ft_in1k,192,0.2,2,40,10,32,0.0007,0.001,0.02,False,topk,off,False,False,True,1280,1280,4
2025-10-26 03:48:26,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4403,0.0175,0.4405,0.0269,0.4176,0.0217,0.4917,0.05,0.4403,0.0175,0.434,0.0552,0.4244,0.0525,0.405,0.0634,0.4982,0.0719,0.434,0.0552,0.4575,0.0662,0.4616,0.0715,0.4344,0.0742,0.5151,0.0811,0.4575,0.0662,42,features=tf_efficientnetv2_s.in21k_ft_in1k,256,0.25,3,40,10,32,0.001,0.001,0.0,False,topk,off,False,False,True,1280,1280,4
2025-10-26 03:50:58,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4155,0.0396,0.4147,0.0545,0.3851,0.0452,0.4246,0.0422,0.4155,0.0396,0.4038,0.0532,0.3955,0.0518,0.3733,0.0588,0.5017,0.0721,0.4038,0.0532,0.4287,0.0409,0.4291,0.0432,0.4071,0.0442,0.4844,0.0577,0.4287,0.0409,42,features=tf_efficientnetv2_s.in21k_ft_in1k,192,0.15,3,40,10,32,0.001,0.0005,0.05,False,topk,off,False,False,True,1280,1280,4
2025-10-26 03:53:25,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4498,0.0456,0.4492,0.0542,0.416,0.0467,0.4879,0.0589,0.4498,0.0456,0.4033,0.049,0.3955,0.0404,0.364,0.0481,0.4831,0.0931,0.4033,0.049,0.4525,0.0622,0.453,0.0745,0.43,0.0706,0.5162,0.1032,0.4525,0.0622,42,features=tf_efficientnetv2_s.in21k_ft_in1k,192,0.2,2,40,10,32,0.0007,0.0005,0.02,False,topk,off,False,False,True,1280,1280,4
2025-10-26 03:55:50,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4522,0.0496,0.4458,0.0618,0.4218,0.0591,0.5063,0.0539,0.4522,0.0496,0.4032,0.0487,0.3947,0.0417,0.3658,0.0446,0.4959,0.0737,0.4032,0.0487,0.4427,0.0657,0.4461,0.0691,0.4349,0.0669,0.4797,0.072,0.4427,0.0657,42,features=tf_efficientnetv2_s.in21k_ft_in1k,192,0.2,2,40,10,32,0.001,0.0005,0.02,False,topk,off,False,False,True,1280,1280,4
2025-10-26 03:58:21,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4385,0.017,0.4473,0.0286,0.4205,0.024,0.4989,0.0598,0.4385,0.017,0.421,0.0478,0.4197,0.0546,0.3939,0.0601,0.4909,0.0706,0.421,0.0478,0.4502,0.056,0.4567,0.0602,0.4296,0.0621,0.5232,0.0936,0.4502,0.056,42,features=tf_efficientnetv2_s.in21k_ft_in1k,256,0.25,3,40,10,32,0.001,0.001,0.02,False,topk,off,False,False,True,1280,1280,4
2025-10-26 04:00:53,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4412,0.0174,0.4505,0.0257,0.4251,0.0218,0.5016,0.0578,0.4412,0.0174,0.421,0.0478,0.4197,0.0546,0.3932,0.0598,0.4902,0.0707,0.421,0.0478,0.4512,0.06,0.4577,0.0636,0.433,0.0653,0.5275,0.099,0.4512,0.06,42,features=tf_efficientnetv2_s.in21k_ft_in1k,256,0.25,3,40,10,32,0.001,0.0005,0.02,False,topk,off,False,False,True,1280,1280,4
2025-10-26 04:03:18,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4482,0.0524,0.442,0.0653,0.4098,0.0702,0.4802,0.0694,0.4482,0.0524,0.4178,0.0593,0.4114,0.0547,0.3839,0.0626,0.5052,0.077,0.4178,0.0593,0.4545,0.0652,0.4573,0.0693,0.4487,0.0671,0.4869,0.0692,0.4545,0.0652,42,features=tf_efficientnetv2_s.in21k_ft_in1k,192,0.2,2,40,10,32,0.001,0.001,0.02,False,topk,off,False,False,True,1280,1280,4
2025-10-26 04:05:47,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4317,0.0303,0.4348,0.0333,0.4106,0.0326,0.506,0.0502,0.4317,0.0303,0.4132,0.0429,0.4092,0.0549,0.3833,0.0604,0.464,0.0707,0.4132,0.0429,0.4555,0.0632,0.4553,0.0706,0.4444,0.0678,0.5239,0.0829,0.4555,0.0632,42,features=tf_efficientnetv2_s.in21k_ft_in1k,256,0.2,3,40,10,32,0.001,0.0005,0.0,False,topk,off,False,False,True,1280,1280,4
2025-10-26 04:08:10,tf_efficientnetv2_s.in21k_ft_in1k,mamba,0.4533,0.0679,0.4541,0.0844,0.4286,0.086,0.5277,0.0691,0.4533,0.0679,0.4172,0.073,0.4113,0.0712,0.3868,0.0766,0.4732,0.1067,0.4172,0.073,0.4488,0.0645,0.4483,0.0748,0.4284,0.0765,0.5135,0.0815,0.4488,0.0645,42,features=tf_efficientnetv2_s.in21k_ft_in1k,192,0.15,2,40,10,32,0.001,0.0005,0.05,False,topk,off,False,False,False,1280,1280,4
